Job requisition,Job Description adjustments meeting,Start Date,Short list,Interviews Hiring manager,Tests,Reference check,Offer made,Offer acceptance,End date
3-abr.,4-abr.,18-abr.,20-abr.,23-abr.,25-abr.,30-abr.,6-may.,6-may.,8-may.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
15-jun.,16-jun.,30-jun.,2-jul.,5-jul.,7-jul.,12-jul.,18-jul.,18-jul.,20-jul.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
0-ene.,1-ene.,15-ene.,17-ene.,20-ene.,22-ene.,27-ene.,2-feb.,2-feb.,4-feb.
